time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-22 00:00:00+00:00,366,16,282,63
2025-03-23 00:00:00+00:00,433,18,213,118
2025-03-24 00:00:00+00:00,439,40,1399,659
2025-03-25 00:00:00+00:00,204,40,1206,238
2025-03-26 00:00:00+00:00,249,81,1153,228
2025-03-27 00:00:00+00:00,193,37,1147,192
2025-03-28 00:00:00+00:00,545,33,988,177
2025-03-29 00:00:00+00:00,210,35,356,62
2025-03-30 00:00:00+00:00,386,23,344,55
2025-03-31 00:00:00+00:00,476,111,1461,216
2025-04-01 00:00:00+00:00,444,54,1313,208
2025-04-02 00:00:00+00:00,181,33,1231,222
2025-04-03 00:00:00+00:00,75,45,1204,310
2025-04-04 00:00:00+00:00,125,25,711,317
